CAS_No,EC_No,Substance_Name,MLC132_Entry,MLC132_Status_by_ROW,MLC132_Details,Policy Specific Requirements,Consider_Specific_Details
13517-20-9,239-172-9,"Perboric acid (H3BO2(O2)), monosodium salt, trihydrate",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
10486-00-7,231-556-4,"perboric acid (HBO(O2)), sodium salt, tetrahydrate",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
90568-23-3,,"Borate(2-), tetrahydroxybis[μ-(peroxy-κO1:κO2)]di-,sodium (1:2); molecular formula B2H4O8.2Na)",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
125022-34-6,,"Borate(2-), tetrahydroxybis[μ-(peroxy-κO1:κO2)]di-,sodium, hydrate (1:2:6); molecular formula B2H4O8.6H2O.2Na)",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
28962-65-4,,Sodium peroxyborate tetrahydrate,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
28108-09-0,,Sodium peroxyborate tetrahydrate,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
1937-37-7,217-710-3,"Disodium 4-amino-3-[[4'-[(2,4-diaminophenyl)azo][1,1'-biphenyl]-4-yl]azo] -5-hydroxy-6-(phenylazo)naphthalene-2,7-disulphonate (C.I. Direct Black 38)",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
25155-23-1,246-677-8,Trixylyl phosphate,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
96-45-7,202-506-9,Imidazolidine-2-thione; (2-imidazoline-2-thiol),REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
573-58-0,209-358-4,"Disodium 3,3'-[[1,1'-biphenyl]-4,4'-diylbis(azo)]bis(4-aminonaphthalene-1-sulphonate) (C.I. Direct Red 28)",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
301-04-2,206-104-4,Lead di(acetate),REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
15347-57-6,239-379-4,"Lead acetate; Acetic acid, lead salt",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
84-75-3,201-559-5,Dihexyl phthalate,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
3825-26-1,223-320-4,Ammonium pentadecafluorooctanoate (APFO),REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
26543-97-5,247-770-6,p-Isononylphenol,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
90481-04-2,291-844-0,"Phenol, nonyl-, branched",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
11066-49-2,234-284-4,Isononylphenol,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
24518-48-7,,4-isononyl phenol,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
63085-63-2,,"4-(2,6-dimethylheptyl)phenol",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
17404-67-0,,3-(4-hydroxyphenyl)nonane,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
17404-46-5,,2-(1-ethylheptyl)phenol,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
142731-58-6,,"4-(1,2-dimethylheptyl)phenol",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
866790-13-8,,"4-(1,2-dimethyl-1-propylbutyl)phenol",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
186825-35-4,,"4-(1-ethyl-1,3,3-trimethylbutyl)phenol",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
701920-86-7,,"4-(1,1,3,4-tetramethylpentyl)phenol",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
851401-44-0,,"4-(1,1,2,4-tetramethylpentyl)phenol",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
866790-14-9,,"Phenol, 4-(1-ethyl-1,2-dimethylpentyl)",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
478243-86-6,,"4-(2-ethyl-1,1-dimethylpentyl)phenol",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
142731-59-7,,"Phenol, 4-[1-(1-methylpropyl)pentyl]",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
1119215-28-9,,"(R)-4-(3,6-dimethylheptan-3-yl)phenol",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
1158978-80-3,,4-(1-ethyl-2-methylhexyl)phenol,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
1119216-40-8,,"(S)-4-(2,3-dimethylheptan-2-yl)phenol",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
1119215-26-7,,"(R)-4-(2,3-dimethylheptan-2-yl)phenol",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
1988-28-9,,"4-(2,5-dimethylheptan-2-yl)phenol",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
186825-37-6,,"4-(1,2,4-trimethylhexyl)phenol",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
6465-76-5,,4-(1-butylpentyl)phenol,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
497103-56-7,,"4-(2,3-dimethylheptan-2-yl)phenol",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
6465-78-7,,4-(4-hydroxyphenyl)nonane,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
30784-30-6,250-339-5,"4-(1,1- Dimethylheptyl)phenol",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
17404-66-9,241-427-4,4-(1-Methyloctyl)phenol,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
142731-63-3,635-391-2,"4-(1-ethyl-1,4-dimethylpentyl)phenol",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
52427-13-1,257-907-1,4-(1-Ethyl-1-methylhexyl)phenol,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
186825-39-8,635-696-0,4-(2-Ethyl-1-methylhexyl)phenol,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
521947-27-3,635-388-6,"4-(2,6-Dimethyl-2-heptyl)phenol ",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
186825-36-5,635-389-1,"4-​(3,5-​Dimethyl-​3-​heptyl)​phenol",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
84852-15-3,284-325-5,"4-Nonylphenol, branched",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
174305-83-0,,"Phenol, 4-(1,1,3-trimethylhexyl)-",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
142731-65-5,,"Phenol, 4-(1,3-dimethyl-1-propylbutyl)-",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
142731-55-3,,"Phenol, 4-(1,2,5-trimethylhexyl)-",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
58865-77-3,,"Phenol, 4-tert-nonyl-",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
104-40-5,203-199-4,4-Nonylphenol,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
25154-52-3,246-672-0,nonylphenol,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
29832-11-9,,4-nonylphenol,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
68081-86-7,268-359-8,C9-Alkylated phenol,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
26571-11-9,247-816-5,2-[2-[2-[2-[2-[2-[2-[2-[2-(Nonylphenoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
27942-27-4,248-743-1,"20-(4-nonylphenoxy)-3,6,9,12,15,18-hexaoxaicosan-1-ol ",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
68412-54-4,500-209-1,"Polyoxyethylene (9) nonylphenylether, branched ",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
68412-54-4,932-688-1,"Polyoxyethylene (9) nonylphenylether, branched ",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
,932-998-7,Nonylphenolpolyglycolether,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
,939-975-0,"Nonylphenol, ethoxylated (EO = 4)",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
34166-38-6,,2-[2-[2-[2-[2-[2-(4-nonylphenoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
14409-72-4,604-395-6,"4-Nonylphenolnonaethoxylate; 26-(4-Nonylphenoxy)-3,6,9,12,15,18,21,24-octaoxahexacosan -1-ol; Tergitol NP 9",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
104-35-8,,2-(p-Nonylphenoxy) ethanol,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
20427-84-3,243-816-4,2-(2-(p-Nonylphenoxy)ethoxy) ethanol,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
17692-59-0,,"44-(4-nonylphenoxy)-3,6,9,12,15,18,21,24,27,30,33,36,39,42-tetradecaoxatetratetracontan-1-ol",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
2073-51-0,,Nonylphenol polyoxyethylene glycol (30),REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
51437-95-7,,4-n-Nonylphenol triethoxylate,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
20543-07-1,,p-n-Nonylphenoxydecaethoxyethanol,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
131890-13-6,,"41-(4-nonylphenoxy)-3,6,9,12,15,18,21,24,27,30,33,36,39-tridecaoxahentetracontan-1-ol",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
131890-12-5,,"38-(4-nonylphenoxy)-3,6,9,12,15,18,21,24,27,30,33,36-dodecaoxaoctatriacontan-1-ol",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
26027-38-3,500-045-0,p-Nonylphenol polyethylene glycol ether,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
27177-05-5,248-293-6,Nonylphenol hepta(oxyethylene)ethanol,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
7311-27-5,230-770-5,2-(2-(2-(2-(p-Nonylphenoxy)ethoxy) ethoxy)ethoxy) ethanol,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
156609-10-8,,"4-TERT-NONYLPHENOLDIETHOXYLATE_x000D_
",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
26264-02-8,247-555-7,POLYOXYETHYLENE(5) NONYLPHENYL ETHER,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
127087-87-0,500-315-8,"Poly(oxy,1,2-ethanediyl) alpha-(4-nonylphenyl)-omega-hydroxy- branched",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
27942-26-3,,2-(p-Nonylphenoxy)ethanol,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
20636-48-0,,2-[2-[2-[2-[2-(4-nonylphenoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethanol ,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
41506-14-3,,"(23-(4-nonylphenoxy)-3,6,9,12,15,18,21-Heptaoxatricosan-1-ol ) ",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
261176-82-3,,2-(2-(2-(2-(4-(Nonan-5-yl)phenoxy)ethoxy)ethoxy)ethoxy)ethan-1-ol,REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
91673-24-4,,"Ethanol, 2-(2-(2-(2-(4-nonylphenoxy)ethoxy)ethoxy)ethoxy)-, branched",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
,931-756-8,"Nonylphenol, ethoxylated",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
,931-755-2,"Nonylphenol, ethoxylated",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
,931-754-7,"Nonylphenol, ethoxylated",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
,931-753-1,"Nonylphenol, ethoxylated",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
9016-45-9,939-993-9,"Nonylphenol, ethoxylated (EO = 10)",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
9016-45-9,931-562-3,"Nonylphenol, ethoxylated",REACH Candidate List,CONTROL SUBSTANCES,"Where unavoidable, uses are acceptable provided all practical measures are taken to reduce risk to health or the environment, and in accordance with any legislative requirements. Introduction of new uses should be with the recognition that these substances may be subject to legislatively driven obsolescence in the future.",,N
